"marker","uniprot_id","BIOGRID_INTERACTION_ID","BIOGRID_ID_A","BIOGRID_ID_B","SYSTEMATIC_NAME_A","SYSTEMATIC_NAME_B","OFFICIAL_SYMBOL_A","OFFICIAL_SYMBOL_B","SYNONYMS_A","SYNONYMS_B","EXPERIMENTAL_SYSTEM","EXPERIMENTAL_SYSTEM_TYPE","PUBMED_AUTHOR","PUBMED_ID","ORGANISM_A","ORGANISM_B","THROUGHPUT","QUANTITATION","MODIFICATION","QUALIFICATIONS","SOURCEDB","marker_A","marker_B","marker_A_A","marker_B_B"
"Fas","P25445",3157218,115656,106851,"RP13-122B23.2","RP11-399O19.7","TUBB4B","FAS","Beta2|TUBB2|TUBB2C","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.899177794","-","BioPlex HCT HCT116 cells CompPASS score = 0.899177794, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3159299,113131,106851,"-","RP11-399O19.7","TUBB2A","FAS","CDCBM5|TUBB|TUBB2|dJ40E16.7","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.999761852","-","BioPlex HCT HCT116 cells CompPASS score = 0.999761852, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3161221,120053,106851,"-","RP11-399O19.7","UGT1A10","FAS","UDPGT|UGT-1J|UGT1-10|UGT1.10|UGT1J","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.997999412","-","BioPlex HCT HCT116 cells CompPASS score = 0.997999412, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3169364,124148,106851,"-","RP11-399O19.7","TUBB6","FAS","HsT1601|TUBB-5","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.961171648","-","BioPlex HCT HCT116 cells CompPASS score = 0.961171648, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3173411,122097,106851,"UNQ284/PRO323","RP11-399O19.7","DPEP2","FAS","MBD2","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.958467549","-","BioPlex HCT HCT116 cells CompPASS score = 0.958467549, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3175115,122496,106851,"-","RP11-399O19.7","SPATA5L1","FAS","-","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.983554959","-","BioPlex HCT HCT116 cells CompPASS score = 0.983554959, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3177512,131483,106851,"RP11-506K6.1","RP11-399O19.7","TUBB2B","FAS","PMGYSA|bA506K6.1","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.999923929","-","BioPlex HCT HCT116 cells CompPASS score = 0.999923929, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3186975,114292,106851,"-","RP11-399O19.7","ADAM7","FAS","ADAM 7|ADAM-7|EAPI|GP-83|GP83","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.951038335","-","BioPlex HCT HCT116 cells CompPASS score = 0.951038335, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3187679,106723,106851,"-","RP11-399O19.7","ALDH3B1","FAS","ALDH4|ALDH7","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.960197367","-","BioPlex HCT HCT116 cells CompPASS score = 0.960197367, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3189907,124311,106851,"UNQ2531/PRO6030","RP11-399O19.7","TMEM25","FAS","-","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.977518314","-","BioPlex HCT HCT116 cells CompPASS score = 0.977518314, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3190258,109080,106851,"-","RP11-399O19.7","GPD1","FAS","GPD-C|GPDH-C|HTGTI","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.953209539","-","BioPlex HCT HCT116 cells CompPASS score = 0.953209539, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3191450,120868,106851,"-","RP11-399O19.7","AGK","FAS","CATC5|CTRCT38|MTDPS10|MULK","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.996962695","-","BioPlex HCT HCT116 cells CompPASS score = 0.996962695, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3191647,115427,106851,"-","RP11-399O19.7","ARL4C","FAS","ARL7|LAK","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.985565226","-","BioPlex HCT HCT116 cells CompPASS score = 0.985565226, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3194679,117027,106851,"-","RP11-399O19.7","GCAT","FAS","KBL","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.962505399","-","BioPlex HCT HCT116 cells CompPASS score = 0.962505399, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3194774,108263,106851,"-","RP11-399O19.7","EFNA2","FAS","ELF-1|EPLG6|HEK7-L|LERK-6|LERK6","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.98927012","-","BioPlex HCT HCT116 cells CompPASS score = 0.98927012, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3195922,123623,106851,"-","RP11-399O19.7","QTRT1","FAS","FP3235|TGT|TGUT","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Huttlin EL (2021)",33961781,9606,9606,"High Throughput","0.99771212","-","BioPlex HCT HCT116 cells CompPASS score = 0.99771212, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3201054,108347,106851,"RP1-85F18.1","RP11-399O19.7","EP300","FAS","KAT3B|RSTS2|p300","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Li X (2021)",33742100,9606,9606,"Low Throughput","-","-","-","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3379726,123546,106851,"RP11-98D18.12-005","RP11-399O19.7","SNX27","FAS","MRT1|MY014","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","Affinity Capture-MS","physical","Shi R (2021)",34315543,9606,9606,"High Throughput","-","-","Affinity Capture-MS was carried out to identify high confidence protein-protein interactors with a fold change of >2 over control and an adjusted p<0.05","BIOGRID",NA,"Fas",NA,"Fas"
"Fas","P25445",3390256,106851,115691,"RP11-399O19.7","RP11-432J22.3","FAS","UBAC1","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","GBDR1|UBADC1","Proximity Label-MS","physical","Guegan JP (2021)",34917906,9606,9606,"Low Throughput|High Throughput","-","-","LTP hit identified by western|Proximity Label-MS was carried out to identify high confidence protein-protein interactors.","BIOGRID","Fas",NA,"Fas",NA
"Fas","P25445",3390257,106851,111902,"RP11-399O19.7","-","FAS","RELA","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","NFKB3|p65","Proximity Label-MS","physical","Guegan JP (2021)",34917906,9606,9606,"Low Throughput|High Throughput","-","-","LTP hit identified by western|Proximity Label-MS was carried out to identify high confidence protein-protein interactors.","BIOGRID","Fas",NA,"Fas",NA
"Fas","P25445",3390258,106851,121971,"RP11-399O19.7","FP1477","FAS","RNF123","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","KPC1","Proximity Label-MS","physical","Guegan JP (2021)",34917906,9606,9606,"Low Throughput","-","-","LTP hit identified by western","BIOGRID","Fas",NA,"Fas",NA
"Fas","P25445",3390259,106851,115691,"RP11-399O19.7","RP11-432J22.3","FAS","UBAC1","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","GBDR1|UBADC1","Affinity Capture-Western","physical","Guegan JP (2021)",34917906,9606,9606,"Low Throughput","-","-","-","BIOGRID","Fas",NA,"Fas",NA
